obs,Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Month,Duration,Campaign,Previous,poutcome,Y
158,44,services,married,secondary,no,-395,yes,no,cellular,may,894,1,0,unknown,1
159,37,blue-collar,single,secondary,no,240,yes,no,unknown,may,246,1,0,unknown,0
160,39,management,divorced,tertiary,no,126,no,no,cellular,may,170,1,0,unknown,0
161,37,admin.,married,primary,no,242,yes,no,unknown,may,161,8,0,unknown,0
162,37,self-employed,married,secondary,no,2235,no,no,unknown,jun,94,1,0,unknown,0
163,51,self-employed,married,primary,no,183,no,yes,cellular,aug,292,2,0,unknown,0
164,52,self-employed,married,secondary,no,371,yes,no,telephone,feb,50,1,1,other,0
165,34,services,married,secondary,no,-538,yes,no,unknown,may,682,1,0,unknown,1
166,34,management,single,tertiary,no,549,no,no,cellular,oct,1246,2,0,unknown,1
167,25,blue-collar,single,secondary,no,579,yes,no,unknown,may,225,4,0,unknown,0
168,42,housemaid,married,primary,no,14752,no,no,unknown,may,107,2,0,unknown,0
169,44,management,married,tertiary,no,13853,yes,no,cellular,nov,1329,3,0,unknown,0
170,35,blue-collar,divorced,secondary,no,-566,yes,no,cellular,may,151,2,2,failure,0
171,29,management,married,tertiary,no,991,no,no,cellular,may,109,2,0,unknown,0
172,37,management,married,secondary,no,-499,yes,no,cellular,nov,71,3,0,unknown,0
173,44,admin.,divorced,tertiary,no,994,yes,no,cellular,may,420,3,0,unknown,0
174,40,blue-collar,married,secondary,no,217,yes,no,unknown,may,195,1,0,unknown,0
175,33,management,married,tertiary,no,1778,no,no,cellular,may,134,1,1,success,0
176,28,technician,single,secondary,no,126,no,no,cellular,mar,229,1,0,unknown,0
177,36,blue-collar,married,unknown,no,17983,yes,no,unknown,may,100,1,0,unknown,0
178,33,management,single,tertiary,no,201,yes,no,unknown,may,280,1,0,unknown,0
179,38,blue-collar,married,secondary,no,-288,yes,yes,cellular,nov,68,1,2,failure,0
180,46,management,married,tertiary,no,-591,no,no,cellular,jul,126,1,0,unknown,0
181,31,unemployed,divorced,secondary,no,1144,yes,no,cellular,may,65,2,1,failure,0
182,46,blue-collar,single,primary,no,96,yes,no,cellular,apr,99,1,1,failure,0
183,38,services,married,secondary,no,173,yes,no,unknown,may,130,2,0,unknown,0
184,57,technician,married,secondary,no,839,no,yes,unknown,may,225,1,0,unknown,0
185,26,services,single,secondary,no,128,yes,yes,unknown,jun,264,2,0,unknown,0
186,26,technician,single,secondary,no,84,yes,no,cellular,jul,70,3,0,unknown,0
187,41,services,married,secondary,no,2399,yes,no,cellular,may,303,2,2,failure,0
188,30,admin.,single,secondary,no,873,no,no,cellular,oct,301,1,2,failure,0
189,21,student,single,secondary,no,215,no,no,cellular,may,382,1,7,success,1
190,36,services,married,secondary,no,0,no,no,cellular,nov,94,1,0,unknown,0
191,50,blue-collar,married,primary,no,403,no,no,cellular,aug,119,6,0,unknown,0
192,33,admin.,single,secondary,no,673,yes,no,unknown,may,199,2,0,unknown,0
193,23,management,single,tertiary,no,1004,yes,no,cellular,mar,114,2,0,unknown,0
194,40,management,divorced,tertiary,no,1315,yes,no,cellular,apr,466,2,5,failure,0
195,41,unemployed,married,secondary,no,2423,yes,no,cellular,feb,101,1,0,unknown,0
196,37,unknown,single,secondary,no,57,yes,no,unknown,may,142,1,0,unknown,0
197,25,management,single,tertiary,no,222,no,no,cellular,may,114,1,0,unknown,0
198,43,management,married,tertiary,no,1059,no,yes,cellular,jun,335,2,0,unknown,1
199,31,technician,married,secondary,no,2363,yes,no,unknown,may,247,1,0,unknown,0
200,35,services,married,secondary,no,1047,yes,no,cellular,apr,95,2,0,unknown,0
201,38,admin.,married,secondary,no,1973,no,no,cellular,nov,155,2,0,unknown,0
202,26,management,single,tertiary,no,2506,no,no,cellular,aug,134,1,3,failure,0
203,59,retired,married,secondary,no,11,no,no,cellular,nov,318,2,0,unknown,0
204,33,management,married,tertiary,no,1817,no,no,cellular,nov,55,1,0,unknown,0
205,37,blue-collar,married,primary,no,0,yes,no,cellular,may,108,1,2,failure,0
206,58,management,married,tertiary,no,3864,yes,no,cellular,jul,815,4,0,unknown,1
207,40,blue-collar,married,secondary,no,498,yes,no,cellular,may,55,2,4,failure,0
208,67,retired,married,tertiary,no,1341,no,no,cellular,feb,706,1,0,unknown,1
209,38,unemployed,single,tertiary,no,324,yes,no,cellular,nov,167,3,0,unknown,0
210,42,technician,married,secondary,no,488,no,no,cellular,apr,230,1,1,other,0
211,26,admin.,single,secondary,no,985,yes,no,cellular,may,267,2,0,unknown,0
212,44,management,married,tertiary,no,349,no,no,unknown,jun,58,1,0,unknown,0
213,31,admin.,single,secondary,no,396,yes,no,unknown,may,104,1,0,unknown,0
214,34,technician,single,secondary,no,399,yes,no,unknown,jun,493,3,0,unknown,0
215,59,entrepreneur,married,primary,no,0,no,no,unknown,jun,239,1,0,unknown,0
216,40,services,married,secondary,no,0,yes,no,cellular,may,184,1,2,failure,0
217,52,blue-collar,married,primary,no,1364,yes,no,cellular,aug,164,2,0,unknown,0
218,33,blue-collar,married,secondary,no,358,no,no,cellular,may,231,1,1,failure,0
219,32,technician,married,secondary,no,344,yes,no,cellular,nov,179,1,1,failure,0
220,37,admin.,single,secondary,no,0,yes,no,cellular,apr,640,2,0,unknown,0
221,40,management,married,tertiary,no,207,yes,no,unknown,may,39,1,0,unknown,0
222,21,blue-collar,single,primary,no,-42,no,no,unknown,oct,5,1,0,unknown,0
223,41,blue-collar,married,primary,no,8,yes,no,cellular,jul,155,2,0,unknown,0
224,54,management,divorced,tertiary,no,432,yes,no,cellular,may,160,1,0,unknown,0
225,37,self-employed,single,secondary,no,133,yes,no,cellular,nov,207,1,0,unknown,0
226,32,technician,married,tertiary,no,52,yes,yes,cellular,may,188,1,0,unknown,0
227,34,admin.,single,tertiary,no,2045,no,no,cellular,jan,146,2,0,unknown,0
228,43,technician,married,secondary,no,1358,no,no,cellular,mar,159,3,0,unknown,1
229,48,blue-collar,married,primary,no,4,yes,no,unknown,may,198,1,0,unknown,0
230,40,management,married,tertiary,no,1213,no,no,cellular,aug,53,1,0,unknown,0
231,61,management,married,tertiary,no,0,yes,no,cellular,apr,114,1,0,unknown,0
232,33,blue-collar,married,secondary,no,463,yes,no,unknown,may,76,4,0,unknown,0
233,35,technician,married,tertiary,no,4,yes,no,cellular,may,88,1,0,unknown,0
234,40,blue-collar,married,secondary,no,11084,no,no,unknown,jun,113,1,0,unknown,0
235,40,services,divorced,secondary,no,1155,no,yes,cellular,nov,175,1,1,failure,0
236,47,blue-collar,married,secondary,no,0,yes,yes,cellular,nov,196,1,0,unknown,0
237,31,technician,married,tertiary,no,636,yes,no,cellular,may,352,4,0,unknown,1
238,42,blue-collar,married,secondary,no,-128,no,yes,cellular,jul,180,4,0,unknown,0
239,30,management,single,tertiary,no,3392,yes,no,cellular,apr,194,2,0,unknown,0
240,36,management,single,tertiary,no,3850,yes,no,cellular,aug,239,2,4,failure,1
241,32,services,single,secondary,no,2478,no,yes,cellular,nov,395,1,0,unknown,0
242,29,technician,single,tertiary,no,1221,yes,no,cellular,jul,72,2,0,unknown,0
243,36,management,divorced,tertiary,no,1406,yes,no,cellular,aug,266,4,0,unknown,0
244,31,blue-collar,single,secondary,no,4415,yes,no,unknown,jun,329,1,0,unknown,0
245,32,technician,single,tertiary,no,360,no,no,cellular,nov,164,2,0,unknown,0
246,39,technician,single,secondary,no,201,no,yes,unknown,jun,148,4,0,unknown,0
247,30,management,single,secondary,no,7870,yes,no,cellular,aug,82,7,0,unknown,0
248,47,admin.,married,secondary,no,-1091,yes,yes,cellular,jul,153,4,0,unknown,0
249,75,retired,married,primary,no,1765,no,no,telephone,mar,282,2,2,success,0
250,55,technician,married,secondary,no,477,no,no,cellular,jul,138,1,0,unknown,0
251,32,blue-collar,married,secondary,no,7365,yes,no,cellular,jul,124,5,0,unknown,0
252,37,management,married,tertiary,no,-1884,yes,no,cellular,jul,193,1,0,unknown,0
253,37,management,divorced,secondary,no,1448,yes,no,cellular,apr,196,2,2,failure,0
254,48,management,married,secondary,no,3260,no,no,unknown,jun,111,3,0,unknown,0
255,44,blue-collar,married,primary,no,582,no,no,cellular,jul,83,2,0,unknown,0
256,30,blue-collar,divorced,secondary,yes,457,yes,no,unknown,jun,115,20,0,unknown,0
257,37,management,married,tertiary,no,4436,no,no,cellular,aug,846,5,0,unknown,1
258,48,blue-collar,married,secondary,no,1794,yes,yes,cellular,may,97,1,2,failure,0
259,59,technician,married,secondary,no,135,yes,yes,cellular,jul,416,4,0,unknown,1
260,30,blue-collar,married,secondary,no,203,yes,no,cellular,may,18,6,0,unknown,0
261,43,blue-collar,married,primary,no,1147,yes,yes,unknown,may,112,7,0,unknown,0
262,30,services,married,secondary,no,-108,yes,no,unknown,may,216,1,0,unknown,0
263,31,services,single,secondary,no,374,no,no,telephone,jan,49,4,0,unknown,0
264,43,unemployed,divorced,secondary,no,700,yes,no,unknown,may,259,1,0,unknown,0
265,39,blue-collar,single,secondary,no,649,yes,no,cellular,apr,668,1,0,unknown,1
266,57,technician,married,tertiary,no,-40,no,yes,cellular,jul,88,1,0,unknown,0
267,43,blue-collar,single,secondary,no,421,yes,no,unknown,may,298,3,0,unknown,0
268,56,housemaid,married,tertiary,no,1922,yes,no,cellular,jul,247,2,0,unknown,0
269,40,management,married,secondary,no,6695,yes,no,unknown,may,115,1,0,unknown,0
270,38,blue-collar,married,secondary,no,8444,yes,no,cellular,apr,39,2,1,other,0
271,36,technician,married,secondary,no,8119,no,no,unknown,may,24,1,0,unknown,0
272,55,entrepreneur,married,tertiary,no,323,yes,yes,cellular,may,200,1,0,unknown,0
273,40,technician,married,secondary,no,990,yes,no,cellular,feb,252,3,0,unknown,0
274,71,retired,single,tertiary,no,1285,no,no,telephone,jul,195,2,0,unknown,0
275,30,admin.,single,secondary,no,28,no,no,unknown,aug,107,1,0,unknown,0
276,41,blue-collar,married,primary,no,620,no,no,cellular,jan,314,1,0,unknown,0
277,50,technician,married,secondary,no,8001,no,no,unknown,jun,52,1,0,unknown,0
278,55,management,single,tertiary,no,1464,yes,no,unknown,may,92,1,0,unknown,0
279,34,entrepreneur,married,tertiary,no,-28,yes,no,cellular,jul,574,1,0,unknown,0
280,30,unemployed,single,tertiary,no,306,no,no,cellular,feb,90,6,14,failure,0
281,30,management,single,tertiary,no,77,no,no,cellular,aug,342,3,0,unknown,0
282,61,retired,married,primary,no,3738,no,no,telephone,feb,188,1,0,unknown,0
283,36,management,married,tertiary,no,1113,no,no,cellular,sep,212,1,0,unknown,1
284,43,blue-collar,married,secondary,no,1109,yes,no,cellular,feb,115,3,2,failure,0
285,26,blue-collar,married,primary,yes,-683,yes,yes,unknown,may,446,1,0,unknown,0
286,51,blue-collar,divorced,primary,no,1927,no,yes,cellular,jul,322,4,0,unknown,0
287,29,technician,married,tertiary,no,676,no,no,cellular,jul,470,4,0,unknown,0
288,31,housemaid,married,secondary,no,0,yes,no,cellular,jul,171,1,0,unknown,0
289,31,blue-collar,single,primary,no,2369,yes,no,cellular,may,87,1,0,unknown,0
290,35,management,married,tertiary,no,0,yes,no,cellular,jul,295,3,0,unknown,0
291,47,blue-collar,married,primary,no,1610,yes,no,unknown,jun,68,1,0,unknown,0
292,45,blue-collar,married,primary,no,942,no,yes,cellular,jul,295,1,0,unknown,0
293,59,technician,married,primary,no,4198,no,no,cellular,jan,309,1,10,success,1
294,30,management,single,tertiary,no,9,yes,yes,cellular,may,582,2,0,unknown,0
295,43,technician,single,secondary,no,0,yes,no,unknown,may,37,3,0,unknown,0
296,42,blue-collar,married,secondary,no,2374,no,no,cellular,jul,143,2,0,unknown,0
297,48,technician,married,primary,no,4656,no,no,cellular,nov,44,1,0,unknown,0
298,51,services,married,secondary,no,260,no,no,telephone,jul,183,2,0,unknown,0
299,36,blue-collar,married,secondary,no,0,yes,no,cellular,jul,184,6,0,unknown,0
300,55,management,married,unknown,no,1504,yes,no,cellular,aug,186,3,2,success,1
301,38,admin.,single,secondary,no,2600,yes,no,cellular,nov,67,1,0,unknown,0
302,41,management,single,unknown,no,335,no,no,cellular,jul,44,4,0,unknown,0
303,34,blue-collar,single,primary,no,2146,yes,no,unknown,may,138,1,0,unknown,0
304,26,self-employed,single,tertiary,no,211,no,no,cellular,jan,168,3,0,unknown,0
305,34,management,divorced,tertiary,no,2240,no,no,cellular,sep,220,2,3,success,1
306,28,blue-collar,married,secondary,no,61,yes,no,cellular,feb,253,1,4,success,1
307,42,management,married,secondary,no,71,no,no,cellular,nov,80,1,0,unknown,0
308,30,blue-collar,single,secondary,no,80,yes,yes,cellular,may,145,1,4,failure,0
309,34,technician,married,secondary,no,-74,yes,no,cellular,jul,98,2,4,failure,0
310,39,management,married,tertiary,no,397,no,no,cellular,jul,113,6,0,unknown,0
311,33,blue-collar,married,secondary,no,1464,yes,no,unknown,may,588,3,0,unknown,1
312,45,admin.,married,secondary,no,153,no,no,cellular,aug,277,1,0,unknown,1
313,35,management,married,secondary,no,0,yes,no,cellular,jul,490,5,0,unknown,0
314,43,blue-collar,married,primary,no,517,yes,no,cellular,apr,138,2,7,failure,0
315,45,blue-collar,married,primary,no,85,yes,no,unknown,may,162,1,0,unknown,0
316,51,housemaid,married,primary,no,137,no,no,cellular,aug,169,2,0,unknown,0
317,53,management,married,tertiary,no,15,no,no,cellular,aug,921,2,0,unknown,1
318,34,blue-collar,married,primary,no,602,yes,no,cellular,jul,680,1,0,unknown,0
319,37,admin.,single,tertiary,no,224,yes,no,cellular,jul,128,2,0,unknown,0
320,51,blue-collar,married,primary,no,3942,yes,no,unknown,jun,363,3,0,unknown,0
321,42,blue-collar,married,secondary,no,166,yes,no,unknown,may,285,3,0,unknown,0
322,30,management,single,tertiary,no,6392,yes,no,cellular,may,335,1,0,unknown,0
323,42,blue-collar,married,secondary,no,1449,yes,no,cellular,may,177,1,1,failure,0
324,47,management,married,tertiary,no,385,yes,no,cellular,apr,145,1,4,failure,0
325,33,admin.,single,secondary,no,3160,no,no,unknown,jun,719,13,0,unknown,0
326,23,management,single,tertiary,no,736,yes,no,cellular,apr,119,1,0,unknown,0
327,24,services,married,tertiary,no,0,yes,no,unknown,may,299,1,0,unknown,0
328,43,management,married,tertiary,no,13015,yes,no,cellular,nov,56,1,0,unknown,0
329,53,management,divorced,secondary,no,1355,no,yes,cellular,feb,447,2,8,other,0
330,26,technician,married,tertiary,no,8,yes,yes,unknown,may,262,2,0,unknown,0
331,53,retired,married,primary,no,3,no,no,cellular,jan,114,4,0,unknown,0
332,40,blue-collar,married,secondary,no,746,yes,yes,cellular,feb,241,1,3,other,0
